movie_title,imdb_score
Avatar,7.9
Pirates of the Caribbean: At World's End,7.1
The Dark Knight Rises,8.5
Star Wars: Episode VII - The Force Awakens            ,7.1
Tangled,7.8
Avengers: Age of Ultron,7.5
Harry Potter and the Half-Blood Prince,7.5
Pirates of the Caribbean: Dead Man's Chest,7.3
Man of Steel,7.2
The Avengers,8.1
The Hobbit: The Battle of the Five Armies,7.5
The Hobbit: The Desolation of Smaug,7.9
King Kong,7.2
Titanic,7.7
Captain America: Civil War,8.2
Skyfall,7.8
Spider-Man 2,7.3
Iron Man 3,7.2
Monsters University,7.3
Toy Story 3,8.3
Furious 7,7.2
X-Men: Days of Future Past,8.0
Star Trek Into Darkness,7.8
The Great Gatsby,7.3
Brave,7.2
Star Trek Beyond,7.5
WALL·E,8.4
X-Men: Apocalypse,7.3
The Dark Knight,9.0
Up,8.3
Iron Man,7.9
Hugo,7.5
Edge of Tomorrow,7.9
Inside Out,8.3
The Jungle Book,7.8
Dawn of the Planet of the Apes,7.6
Captain America: The Winter Soldier,7.8
Big Hero 6,7.9
Wreck-It Ralph,7.8
How to Train Your Dragon,8.2
Guardians of the Galaxy,8.1
Interstellar,8.6
Inception,8.8
Godzilla Resurgence,8.2
The Hobbit: An Unexpected Journey,7.9
The Curious Case of Benjamin Button,7.8
X-Men: First Class,7.8
Warcraft,7.3
Transformers,7.1
Harry Potter and the Order of the Phoenix,7.5
Harry Potter and the Goblet of Fire,7.6
I Am Legend,7.2
Ratatouille,8.0
Batman Begins,8.3
Frozen,7.6
The Matrix Reloaded,7.2
Thor: The Dark World,7.1
Mad Max: Fury Road,8.1
Mission: Impossible - Rogue Nation,7.4
Kung Fu Panda 2,7.3
Troy,7.2
Kung Fu Panda 3,7.2
Mission: Impossible - Ghost Protocol,7.4
Rise of the Guardians,7.3
The Last Samurai,7.7
Star Trek,8.0
Spider-Man,7.3
How to Train Your Dragon 2,7.9
Watchmen,7.7
Master and Commander: The Far Side of the World,7.4
Miami Vice            ,7.5
The Revenant,8.1
Rango,7.2
The Bourne Ultimatum,8.1
Kung Fu Panda,7.6
Ant-Man,7.4
The Hunger Games: Catching Fire,7.6
The Adventures of Tintin,7.4
Harry Potter and the Prisoner of Azkaban,7.8
